Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
11	6	17090	500	0	0	1	1	0
12	6	17090	500	0	0	1	1	0
13	6	17090	500	0	0	1	1	0
14	6	17090	500	0	0	1	1	0
15	6	17090	500	0	0	1	1	0
16	6	17090	500	0	0	1	1	0
17	6	17090	500	0	0	1	1	0
18	6	17090	500	0	0	1	1	0
19	6	17090	500	0	0	1	1	0
20	6	17090	500	0	0	1	1	0
21	6	17090	500	0	0	1	1	0
22	6	17090	500	0	0	1	1	0
23	6	17090	500	0	0	1	1	0
24	6	17090	500	0	0	1	1	0
25	6	17090	500	0	0	1	1	0
26	6	17090	500	0	0	1	1	0
27	6	17090	500	0	0	1	1	0
28	6	17090	500	0	0	1	1	0
29	6	17090	500	0	0	1	1	0
30	6	17090	500	0	0	1	1	0
31	6	17090	500	0	0	1	1	0
32	6	17090	500	0	0	1	1	0
33	6	17090	500	0	0	1	1	0
34	6	17090	500	0	0	1	1	0
35	6	17090	500	0	0	1	1	0
36	6	17090	500	0	0	1	1	0
37	6	17090	500	0	0	1	1	0
38	6	17090	500	0	0	1	1	0
39	6	17090	500	0	0	1	1	0
40	6	17090	500	0	0	1	1	0
41	6	17090	500	0	0	1	1	0
42	6	17090	500	0	0	1	1	0
43	6	17090	500	0	0	1	1	0
44	6	17090	500	0	0	1	1	0
45	6	17090	500	0	0	1	1	0
46	6	17090	500	0	0	1	1	0
47	6	17090	500	0	0	1	1	0
48	6	17090	500	0	0	1	1	0
49	6	17090	500	0	0	1	1	0
50	6	17090	500	0	0	1	1	0
1	15	14033	500	0	0	1	1	0
2	15	14033	500	0	0	1	1	0
3	15	14033	500	0	0	1	1	0
4	15	14033	500	0	0	1	1	0
5	15	14033	500	0	0	1	1	0
6	15	14033	500	0	0	1	1	0
7	15	14033	500	0	0	1	1	0
8	15	14033	500	0	0	1	1	0
9	15	14033	500	0	0	1	1	0
10	15	14033	500	0	0	1	1	0
11	15	14033	500	0	0	1	1	0
12	15	14033	500	0	0	1	1	0
13	15	14033	500	0	0	1	1	0
14	15	14033	500	0	0	1	1	0
15	15	14033	500	0	0	1	1	0
16	15	14033	500	0	0	1	1	0
17	15	14033	500	0	0	1	1	0
18	15	14033	500	0	0	1	1	0
19	15	14033	500	0	0	1	1	0
20	15	14033	500	0	0	1	1	0
21	15	14033	500	0	0	1	1	0
22	15	14033	500	0	0	1	1	0
23	15	14033	500	0	0	1	1	0
24	15	14033	500	0	0	1	1	0
25	15	14033	500	0	0	1	1	0
26	15	14033	500	0	0	1	1	0
27	15	14033	500	0	0	1	1	0
28	15	14033	500	0	0	1	1	0
29	15	14033	500	0	0	1	1	0
30	15	14033	500	0	0	1	1	0
31	15	14033	500	0	0	1	1	0
32	15	14033	500	0	0	1	1	0
33	15	14033	500	0	0	1	1	0
34	15	14033	500	0	0	1	1	0
35	15	14033	500	0	0	1	1	0
36	15	14033	500	0	0	1	1	0
37	15	14033	500	0	0	1	1	0
38	15	14033	500	0	0	1	1	0
39	15	14033	500	0	0	1	1	0
40	15	14033	500	0	0	1	1	0
41	15	14033	500	0	0	1	1	0
42	15	14033	500	0	0	1	1	0
43	15	14033	500	0	0	1	1	0
44	15	14033	500	0	0	1	1	0
45	15	14033	500	0	0	1	1	0
46	15	14033	500	0	0	1	1	0
47	15	14033	500	0	0	1	1	0
48	15	14033	500	0	0	1	1	0
49	15	14033	500	0	0	1	1	0
50	15	14033	500	0	0	1	1	0
1	15	2500	1000	0	0	1	1	0
2	15	2500	1000	0	0	1	1	0
3	15	2500	1000	0	0	1	1	0
4	15	2500	1000	0	0	1	1	0
5	15	2500	1000	0	0	1	1	0
6	15	2500	1000	0	0	1	1	0
7	15	2500	1000	0	0	1	1	0
8	15	2500	1000	0	0	1	1	0
9	15	2500	1000	0	0	1	1	0
10	15	2500	1000	0	0	1	1	0
11	15	2500	1000	0	0	1	1	0
12	15	2500	1000	0	0	1	1	0
13	15	2500	1000	0	0	1	1	0
14	15	2500	1000	0	0	1	1	0
15	15	2500	1000	0	0	1	1	0
16	15	2500	1000	0	0	1	1	0
17	15	2500	1000	0	0	1	1	0
18	15	2500	1000	0	0	1	1	0
19	15	2500	1000	0	0	1	1	0
20	15	2500	1000	0	0	1	1	0
21	15	2500	1000	0	0	1	1	0
22	15	2500	1000	0	0	1	1	0
23	15	2500	1000	0	0	1	1	0
24	15	2500	1000	0	0	1	1	0
25	15	2500	1000	0	0	1	1	0
26	15	2500	1000	0	0	1	1	0
27	15	2500	1000	0	0	1	1	0
28	15	2500	1000	0	0	1	1	0
29	15	2500	1000	0	0	1	1	0
30	15	2500	1000	0	0	1	1	0
31	15	2500	1000	0	0	1	1	0
32	15	2500	1000	0	0	1	1	0
33	15	2500	1000	0	0	1	1	0
34	15	2500	1000	0	0	1	1	0
35	15	2500	1000	0	0	1	1	0
36	15	2500	1000	0	0	1	1	0
37	15	2500	1000	0	0	1	1	0
38	15	2500	1000	0	0	1	1	0
39	15	2500	1000	0	0	1	1	0
40	15	2500	1000	0	0	1	1	0
41	15	2500	1000	0	0	1	1	0
42	15	2500	1000	0	0	1	1	0
43	15	2500	1000	0	0	1	1	0
44	15	2500	1000	0	0	1	1	0
45	15	2500	1000	0	0	1	1	0
46	15	2500	1000	0	0	1	1	0
47	15	2500	1000	0	0	1	1	0
48	15	2500	1000	0	0	1	1	0
49	15	2500	1000	0	0	1	1	0
50	15	2500	1000	0	0	1	1	0
1	8	526	1000	0	0	1	1	0
2	8	526	1000	0	0	1	1	0
3	8	526	1000	0	0	1	1	0
4	8	526	1000	0	0	1	1	0
5	8	526	1000	0	0	1	1	0
6	8	526	1000	0	0	1	1	0
7	8	526	1000	0	0	1	1	0
8	8	526	1000	0	0	1	1	0
9	8	526	1000	0	0	1	1	0
10	8	526	1000	0	0	1	1	0
11	8	526	1000	0	0	1	1	0
12	8	526	1000	0	0	1	1	0
13	8	526	1000	0	0	1	1	0
14	8	526	1000	0	0	1	1	0
15	8	526	1000	0	0	1	1	0
16	8	526	1000	0	0	1	1	0
17	8	526	1000	0	0	1	1	0
18	8	526	1000	0	0	1	1	0
19	8	526	1000	0	0	1	1	0
20	8	526	1000	0	0	1	1	0
21	8	526	1000	0	0	1	1	0
22	8	526	1000	0	0	1	1	0
23	8	526	1000	0	0	1	1	0
24	8	526	1000	0	0	1	1	1
25	8	526	1000	0	0	1	1	1
26	8	526	1000	0	0	1	1	1
27	8	526	1000	0	0	1	1	1
28	8	526	1000	0	0	1	1	1
29	8	526	1000	0	0	1	1	1
30	8	526	1000	0	0	1	1	1
31	8	526	1000	0	0	1	1	1
32	8	526	1000	0	0	1	1	1
33	8	526	1000	0	0	1	1	1
34	8	526	1000	0	0	1	1	1
35	8	526	1000	0	0	1	1	1
36	8	526	1000	0	0	1	1	1
37	8	526	1000	0	0	1	1	1
38	8	526	1000	0	0	1	1	1
39	8	526	1000	0	0	1	1	1
40	8	526	1000	0	0	1	1	1
41	8	526	1000	0	0	1	1	1
42	8	526	1000	0	0	1	1	1
43	8	526	1000	0	0	1	1	1
44	8	526	1000	0	0	1	1	1
45	8	526	1000	0	0	1	1	1
46	8	526	1000	0	0	1	1	1
47	8	526	1000	0	0	1	1	1
48	8	526	1000	0	0	1	1	1
49	8	526	1000	0	0	1	1	1
50	8	526	1000	0	0	1	1	1
1	9	2781	1000	0	0	1	1	0
2	9	2781	1000	0	0	1	1	0
3	9	2781	1000	0	0	1	1	0
4	9	2781	1000	0	0	1	1	0
5	9	2781	1000	0	0	1	1	0
6	9	2781	1000	0	0	1	1	0
7	9	2781	1000	0	0	1	1	0
8	9	2781	1000	0	0	1	1	0
9	9	2781	1000	0	0	1	1	0
10	9	2781	1000	0	0	1	1	0
11	9	2781	1000	0	0	1	1	0
12	9	2781	1000	0	0	1	1	0
13	9	2781	1000	0	0	1	1	0
14	9	2781	1000	0	0	1	1	0
15	9	2781	1000	0	0	1	1	0
16	9	2781	1000	0	0	1	1	0
17	9	2781	1000	0	0	1	1	0
18	9	2781	1000	0	0	1	1	0
19	9	2781	1000	0	0	1	1	0
20	9	2781	1000	0	0	1	1	0
21	9	2781	1000	0	0	1	1	0
22	9	2781	1000	0	0	1	1	0
23	9	2781	1000	0	0	1	1	0
24	9	2781	1000	0	0	1	1	0
25	9	2781	1000	0	0	1	1	0
26	9	2781	1000	0	0	1	1	0
27	9	2781	1000	0	0	1	1	0
28	9	2781	1000	0	0	1	1	0
29	9	2781	1000	0	0	1	1	0
30	9	2781	1000	0	0	1	1	0
31	9	2781	1000	0	0	1	1	0
32	9	2781	1000	0	0	1	1	0
33	9	2781	1000	0	0	1	1	0
34	9	2781	1000	0	0	1	1	0
35	9	2781	1000	0	0	1	1	0
36	9	2781	1000	0	0	1	1	0
37	9	2781	1000	0	0	1	1	0
38	9	2781	1000	0	0	1	1	0
39	9	2781	1000	0	0	1	1	0
40	9	2781	1000	0	0	1	1	0
41	9	2781	1000	0	0	1	1	0
42	9	2781	1000	0	0	1	1	0
43	9	2781	1000	0	0	1	1	0
44	9	2781	1000	0	0	1	1	0
45	9	2781	1000	0	0	1	1	0
46	9	2781	1000	0	0	1	1	0
47	9	2781	1000	0	0	1	1	0
48	9	2781	1000	0	0	1	1	0
49	9	2781	1000	0	0	1	1	0
50	9	2781	1000	0	0	1	1	0
1	30	3909	1000	0	0	1	1	0
2	30	3909	1000	0	0	1	1	0
3	30	3909	1000	0	0	1	1	0
4	30	3909	1000	0	0	1	1	0
5	30	3909	1000	0	0	1	1	0
6	30	3909	1000	0	0	1	1	0
7	30	3909	1000	0	0	1	1	0
8	30	3909	1000	0	0	1	1	0
9	30	3909	1000	0	0	1	1	0
10	30	3909	1000	0	0	1	1	0
11	30	3909	1000	0	0	1	1	0
12	30	3909	1000	0	0	1	1	0
13	30	3909	1000	0	0	1	1	0
14	30	3909	1000	0	0	1	1	0
15	30	3909	1000	0	0	1	1	0
16	30	3909	1000	0	0	1	1	0
17	30	3909	1000	0	0	1	1	0
18	30	3909	1000	0	0	1	1	0
19	30	3909	1000	0	0	1	1	0
20	30	3909	1000	0	0	1	1	0
21	30	3909	1000	0	0	1	1	0
22	30	3909	1000	0	0	1	1	0
23	30	3909	1000	0	0	1	1	0
24	30	3909	1000	0	0	1	1	1
25	30	3909	1000	0	0	1	1	0
26	30	3909	1000	0	0	1	1	1
27	30	3909	1000	0	0	1	1	1
28	30	3909	1000	0	0	1	1	1
29	30	3909	1000	0	0	1	1	1
30	30	3909	1000	0	0	1	1	1
31	30	3909	1000	0	0	1	1	1
32	30	3909	1000	0	0	1	1	1
33	30	3909	1000	0	0	1	1	1
34	30	3909	1000	0	0	1	1	1
35	30	3909	1000	0	0	1	1	1
36	30	3909	1000	0	0	1	1	1
37	30	3909	1000	0	0	1	1	1
38	30	3909	1000	0	0	1	1	1
39	30	3909	1000	0	0	1	1	1
40	30	3909	1000	0	0	1	1	1
41	30	3909	1000	0	0	1	1	1
42	30	3909	1000	0	0	1	1	1
43	30	3909	1000	0	0	1	1	1
44	30	3909	1000	0	0	1	1	1
45	30	3909	1000	0	0	1	1	1
46	30	3909	1000	0	0	1	1	0
47	30	3909	1000	0	0	1	1	1
48	30	3909	1000	0	0	1	1	1
49	30	3909	1000	0	0	1	1	1
50	30	3909	1000	0	0	1	1	1
1	6	1845	1000	0	0	1	1	0
2	6	1845	1000	0	0	1	1	0
3	6	1845	1000	0	0	1	1	0
4	6	1845	1000	0	0	1	1	0
5	6	1845	1000	0	0	1	1	0
6	6	1845	1000	0	0	1	1	0
7	6	1845	1000	0	0	1	1	0
8	6	1845	1000	0	0	1	1	0
9	6	1845	1000	0	0	1	1	0
10	6	1845	1000	0	0	1	1	0
11	6	1845	1000	0	0	1	1	0
12	6	1845	1000	0	0	1	1	0
13	6	1845	1000	0	0	1	1	0
14	6	1845	1000	0	0	1	1	0
15	6	1845	1000	0	0	1	1	0
16	6	1845	1000	0	0	1	1	0
17	6	1845	1000	0	0	1	1	0
18	6	1845	1000	0	0	1	1	0
19	6	1845	1000	0	0	1	1	0
20	6	1845	1000	0	0	1	1	0
21	6	1845	1000	0	0	1	1	0
22	6	1845	1000	0	0	1	1	0
23	6	1845	1000	0	0	1	1	0
24	6	1845	1000	0	0	1	1	0
25	6	1845	1000	0	0	1	1	0
26	6	1845	1000	0	0	1	1	0
27	6	1845	1000	0	0	1	1	0
28	6	1845	1000	0	0	1	1	0
29	6	1845	1000	0	0	1	1	0
30	6	1845	1000	0	0	1	1	0
31	6	1845	1000	0	0	1	1	0
32	6	1845	1000	0	0	1	1	0
33	6	1845	1000	0	0	1	1	0
34	6	1845	1000	0	0	1	1	0
35	6	1845	1000	0	0	1	1	0
36	6	1845	1000	0	0	1	1	0
37	6	1845	1000	0	0	1	1	0
38	6	1845	1000	0	0	1	1	0
39	6	1845	1000	0	0	1	1	0
40	6	1845	1000	0	0	1	1	0
41	6	1845	1000	0	0	1	1	0
42	6	1845	1000	0	0	1	1	0
43	6	1845	1000	0	0	1	1	0
44	6	1845	1000	0	0	1	1	0
45	6	1845	1000	0	0	1	1	0
46	6	1845	1000	0	0	1	1	0
47	6	1845	1000	0	0	1	1	0
48	6	1845	1000	0	0	1	1	0
49	6	1845	1000	0	0	1	1	0
50	6	1845	1000	0	0	1	1	0
1	10	5404	1000	0	0	1	1	0
2	10	5404	1000	0	0	1	1	0
3	10	5404	1000	0	0	1	1	0
4	10	5404	1000	0	0	1	1	0
5	10	5404	1000	0	0	1	1	0
6	10	5404	1000	0	0	1	1	0
7	10	5404	1000	0	0	1	1	0
8	10	5404	1000	0	0	1	1	0
9	10	5404	1000	0	0	1	1	0
10	10	5404	1000	0	0	1	1	0
11	10	5404	1000	0	0	1	1	0
12	10	5404	1000	0	0	1	1	0
13	10	5404	1000	0	0	1	1	0
14	10	5404	1000	0	0	1	1	0
15	10	5404	1000	0	0	1	1	0
16	10	5404	1000	0	0	1	1	0
17	10	5404	1000	0	0	1	1	0
18	10	5404	1000	0	0	1	1	0
19	10	5404	1000	0	0	1	1	0
20	10	5404	1000	0	0	1	1	0
21	10	5404	1000	0	0	1	1	0
22	10	5404	1000	0	0	1	1	0
23	10	5404	1000	0	0	1	1	0
24	10	5404	1000	0	0	1	1	0
25	10	5404	1000	0	0	1	1	0
26	10	5404	1000	0	0	1	1	0
27	10	5404	1000	0	0	1	1	0
28	10	5404	1000	0	0	1	1	0
29	10	5404	1000	0	0	1	1	0
30	10	5404	1000	0	0	1	1	0
31	10	5404	1000	0	0	1	1	0
32	10	5404	1000	0	0	1	1	0
33	10	5404	1000	0	0	1	1	0
34	10	5404	1000	0	0	1	1	0
35	10	5404	1000	0	0	1	1	0
36	10	5404	1000	0	0	1	1	0
37	10	5404	1000	0	0	1	1	0
38	10	5404	1000	0	0	1	1	0
39	10	5404	1000	0	0	1	1	0
40	10	5404	1000	0	0	1	1	0
41	10	5404	1000	0	0	1	1	0
42	10	5404	1000	0	0	1	1	0
43	10	5404	1000	0	0	1	1	0
44	10	5404	1000	0	0	1	1	0
45	10	5404	1000	0	0	1	1	0
46	10	5404	1000	0	0	1	1	0
47	10	5404	1000	0	0	1	1	0
48	10	5404	1000	0	0	1	1	0
49	10	5404	1000	0	0	1	1	0
50	10	5404	1000	0	0	1	1	0
1	16	4481	1000	0	0	1	1	0
2	16	4481	1000	0	0	1	1	0
3	16	4481	1000	0	0	1	1	0
4	16	4481	1000	0	0	1	1	0
5	16	4481	1000	0	0	1	1	0
6	16	4481	1000	0	0	1	1	0
7	16	4481	1000	0	0	1	1	0
8	16	4481	1000	0	0	1	1	0
9	16	4481	1000	0	0	1	1	0
10	16	4481	1000	0	0	1	1	0
11	16	4481	1000	0	0	1	1	0
12	16	4481	1000	0	0	1	1	0
13	16	4481	1000	0	0	1	1	0
14	16	4481	1000	0	0	1	1	0
15	16	4481	1000	0	0	1	1	0
16	16	4481	1000	0	0	1	1	0
17	16	4481	1000	0	0	1	1	0
18	16	4481	1000	0	0	1	1	0
19	16	4481	1000	0	0	1	1	0
20	16	4481	1000	0	0	1	1	0
21	16	4481	1000	0	0	1	1	0
22	16	4481	1000	0	0	1	1	0
23	16	4481	1000	0	0	1	1	0
24	16	4481	1000	0	0	1	1	0
25	16	4481	1000	0	0	1	1	0
26	16	4481	1000	0	0	1	1	0
27	16	4481	1000	0	0	1	1	0
28	16	4481	1000	0	0	1	1	0
29	16	4481	1000	0	0	1	1	0
30	16	4481	1000	0	0	1	1	0
31	16	4481	1000	0	0	1	1	0
32	16	4481	1000	0	0	1	1	0
33	16	4481	1000	0	0	1	1	0
34	16	4481	1000	0	0	1	1	0
35	16	4481	1000	0	0	1	1	0
36	16	4481	1000	0	0	1	1	0
37	16	4481	1000	0	0	1	1	0
38	16	4481	1000	0	0	1	1	0
39	16	4481	1000	0	0	1	1	0
40	16	4481	1000	0	0	1	1	0
41	16	4481	1000	0	0	1	1	0
42	16	4481	1000	0	0	1	1	0
43	16	4481	1000	0	0	1	1	0
44	16	4481	1000	0	0	1	1	0
45	16	4481	1000	0	0	1	1	0
46	16	4481	1000	0	0	1	1	0
47	16	4481	1000	0	0	1	1	0
48	16	4481	1000	0	0	1	1	0
49	16	4481	1000	0	0	1	1	0
50	16	4481	1000	0	0	1	1	0
1	9	3652	1000	0	0	1	1	0
2	9	3652	1000	0	0	1	1	0
3	9	3652	1000	0	0	1	1	0
4	9	3652	1000	0	0	1	1	0
5	9	3652	1000	0	0	1	1	0
6	9	3652	1000	0	0	1	1	0
7	9	3652	1000	0	0	1	1	0
8	9	3652	1000	0	0	1	1	0
9	9	3652	1000	0	0	1	1	0
10	9	3652	1000	0	0	1	1	0
11	9	3652	1000	0	0	1	1	0
12	9	3652	1000	0	0	1	1	0
13	9	3652	1000	0	0	1	1	0
14	9	3652	1000	0	0	1	1	0
15	9	3652	1000	0	0	1	1	0
16	9	3652	1000	0	0	1	1	0
17	9	3652	1000	0	0	1	1	0
18	9	3652	1000	0	0	1	1	0
19	9	3652	1000	0	0	1	1	0
20	9	3652	1000	0	0	1	1	0
21	9	3652	1000	0	0	1	1	0
22	9	3652	1000	0	0	1	1	0
23	9	3652	1000	0	0	1	1	0
24	9	3652	1000	0	0	1	1	0
25	9	3652	1000	0	0	1	1	0
26	9	3652	1000	0	0	1	1	0
27	9	3652	1000	0	0	1	1	0
28	9	3652	1000	0	0	1	1	0
29	9	3652	1000	0	0	1	1	0
30	9	3652	1000	0	0	1	1	0
31	9	3652	1000	0	0	1	1	0
32	9	3652	1000	0	0	1	1	0
33	9	3652	1000	0	0	1	1	0
34	9	3652	1000	0	0	1	1	0
35	9	3652	1000	0	0	1	1	0
36	9	3652	1000	0	0	1	1	0
37	9	3652	1000	0	0	1	1	0
38	9	3652	1000	0	0	1	1	0
39	9	3652	1000	0	0	1	1	0
40	9	3652	1000	0	0	1	1	0
41	9	3652	1000	0	0	1	1	0
42	9	3652	1000	0	0	1	1	0
43	9	3652	1000	0	0	1	1	0
44	9	3652	1000	0	0	1	1	0
45	9	3652	1000	0	0	1	1	0
46	9	3652	1000	0	0	1	1	0
47	9	3652	1000	0	0	1	1	0
48	9	3652	1000	0	0	1	1	0
49	9	3652	1000	0	0	1	1	0
50	9	3652	1000	0	0	1	1	0
1	13	9552	1000	0	0	1	1	0
2	13	9552	1000	0	0	1	1	0
3	13	9552	1000	0	0	1	1	0
4	13	9552	1000	0	0	1	1	0
5	13	9552	1000	0	0	1	1	0
6	13	9552	1000	0	0	1	1	0
7	13	9552	1000	0	0	1	1	0
8	13	9552	1000	0	0	1	1	0
9	13	9552	1000	0	0	1	1	0
10	13	9552	1000	0	0	1	1	0
11	13	9552	1000	0	0	1	1	0
12	13	9552	1000	0	0	1	1	0
13	13	9552	1000	0	0	1	1	0
14	13	9552	1000	0	0	1	1	0
15	13	9552	1000	0	0	1	1	0
16	13	9552	1000	0	0	1	1	0
17	13	9552	1000	0	0	1	1	0
18	13	9552	1000	0	0	1	1	0
19	13	9552	1000	0	0	1	1	0
20	13	9552	1000	0	0	1	1	0
21	13	9552	1000	0	0	1	1	0
22	13	9552	1000	0	0	1	1	0
23	13	9552	1000	0	0	1	1	0
24	13	9552	1000	0	0	1	1	0
25	13	9552	1000	0	0	1	1	0
26	13	9552	1000	0	0	1	1	0
27	13	9552	1000	0	0	1	1	0
28	13	9552	1000	0	0	1	1	0
29	13	9552	1000	0	0	1	1	0
30	13	9552	1000	0	0	1	1	0
31	13	9552	1000	0	0	1	1	0
32	13	9552	1000	0	0	1	1	0
33	13	9552	1000	0	0	1	1	0
34	13	9552	1000	0	0	1	1	0
35	13	9552	1000	0	0	1	1	0
36	13	9552	1000	0	0	1	1	0
37	13	9552	1000	0	0	1	1	0
38	13	9552	1000	0	0	1	1	0
39	13	9552	1000	0	0	1	1	0
40	13	9552	1000	0	0	1	1	0
41	13	9552	1000	0	0	1	1	0
42	13	9552	1000	0	0	1	1	0
43	13	9552	1000	0	0	1	1	0
44	13	9552	1000	0	0	1	1	0
45	13	9552	1000	0	0	1	1	0
46	13	9552	1000	0	0	1	1	0
47	13	9552	1000	0	0	1	1	0
48	13	9552	1000	0	0	1	1	0
49	13	9552	1000	0	0	1	1	0
50	13	9552	1000	0	0	1	1	0
1	10	1429	1000	0	0	1	1	0
2	10	1429	1000	0	0	1	1	0
3	10	1429	1000	0	0	1	1	0
4	10	1429	1000	0	0	1	1	0
5	10	1429	1000	0	0	1	1	0
6	10	1429	1000	0	0	1	1	0
7	10	1429	1000	0	0	1	1	0
8	10	1429	1000	0	0	1	1	0
9	10	1429	1000	0	0	1	1	0
10	10	1429	1000	0	0	1	1	0
11	10	1429	1000	0	0	1	1	0
12	10	1429	1000	0	0	1	1	0
13	10	1429	1000	0	0	1	1	0
14	10	1429	1000	0	0	1	1	0
15	10	1429	1000	0	0	1	1	0
16	10	1429	1000	0	0	1	1	0
17	10	1429	1000	0	0	1	1	0
18	10	1429	1000	0	0	1	1	0
19	10	1429	1000	0	0	1	1	0
20	10	1429	1000	0	0	1	1	0
21	10	1429	1000	0	0	1	1	0
22	10	1429	1000	0	0	1	1	0
23	10	1429	1000	0	0	1	1	0
24	10	1429	1000	0	0	1	1	0
25	10	1429	1000	0	0	1	1	0
26	10	1429	1000	0	0	1	1	0
27	10	1429	1000	0	0	1	1	0
28	10	1429	1000	0	0	1	1	0
29	10	1429	1000	0	0	1	1	0
30	10	1429	1000	0	0	1	1	0
31	10	1429	1000	0	0	1	1	0
32	10	1429	1000	0	0	1	1	0
33	10	1429	1000	0	0	1	1	0
34	10	1429	1000	0	0	1	1	0
35	10	1429	1000	0	0	1	1	0
36	10	1429	1000	0	0	1	1	0
37	10	1429	1000	0	0	1	1	0
38	10	1429	1000	0	0	1	1	0
39	10	1429	1000	0	0	1	1	0
40	10	1429	1000	0	0	1	1	0
41	10	1429	1000	0	0	1	1	0
42	10	1429	1000	0	0	1	1	0
43	10	1429	1000	0	0	1	1	0
44	10	1429	1000	0	0	1	1	0
45	10	1429	1000	0	0	1	1	0
46	10	1429	1000	0	0	1	1	0
47	10	1429	1000	0	0	1	1	0
48	10	1429	1000	0	0	1	1	0
49	10	1429	1000	0	0	1	1	0
50	10	1429	1000	0	0	1	1	0
1	47	7538	1000	0	0	1	1	0
2	47	7538	1000	0	0	1	1	0
3	47	7538	1000	0	0	1	1	0
4	47	7538	1000	0	0	1	1	0
5	47	7538	1000	0	0	1	1	0
6	47	7538	1000	0	0	1	1	0
7	47	7538	1000	0	0	1	1	0
8	47	7538	1000	0	0	1	1	0
9	47	7538	1000	0	0	1	1	0
10	47	7538	1000	0	0	1	1	0
11	47	7538	1000	0	0	1	1	0
12	47	7538	1000	0	0	1	1	0
13	47	7538	1000	0	0	1	1	0
14	47	7538	1000	0	0	1	1	0
15	47	7538	1000	0	0	1	1	0
16	47	7538	1000	0	0	1	1	0
17	47	7538	1000	0	0	1	1	0
18	47	7538	1000	0	0	1	1	0
19	47	7538	1000	0	0	1	1	0
20	47	7538	1000	0	0	1	1	0
21	47	7538	1000	0	0	1	1	0
22	47	7538	1000	0	0	1	1	0
23	47	7538	1000	0	0	1	1	0
24	47	7538	1000	0	0	1	1	0
25	47	7538	1000	0	0	1	1	0
26	47	7538	1000	0	0	1	1	0
27	47	7538	1000	0	0	1	1	0
28	47	7538	1000	0	0	1	1	0
29	47	7538	1000	0	0	1	1	0
30	47	7538	1000	0	0	1	1	0
31	47	7538	1000	0	0	1	1	0
32	47	7538	1000	0	0	1	1	0
33	47	7538	1000	0	0	1	1	0
34	47	7538	1000	0	0	1	1	0
35	47	7538	1000	0	0	1	1	0
36	47	7538	1000	0	0	1	1	0
37	47	7538	1000	0	0	1	1	0
38	47	7538	1000	0	0	1	1	0
39	47	7538	1000	0	0	1	1	0
40	47	7538	1000	0	0	1	1	0
41	47	7538	1000	0	0	1	1	0
42	47	7538	1000	0	0	1	1	0
43	47	7538	1000	0	0	1	1	0
44	47	7538	1000	0	0	1	1	0
45	47	7538	1000	0	0	1	1	0
46	47	7538	1000	0	0	1	1	0
47	47	7538	1000	0	0	1	1	0
48	47	7538	1000	0	0	1	1	0
49	47	7538	1000	0	0	1	1	0
50	47	7538	1000	0	0	1	1	0
1	30	11248	1000	0	0	1	1	0
2	30	11248	1000	0	0	1	1	0
3	30	11248	1000	0	0	1	1	0
4	30	11248	1000	0	0	1	1	0
5	30	11248	1000	0	0	1	1	0
6	30	11248	1000	0	0	1	1	0
7	30	11248	1000	0	0	1	1	0
8	30	11248	1000	0	0	1	1	0
9	30	11248	1000	0	0	1	1	0
10	30	11248	1000	0	0	1	1	0
11	30	11248	1000	0	0	1	1	0
12	30	11248	1000	0	0	1	1	0
13	30	11248	1000	0	0	1	1	0
14	30	11248	1000	0	0	1	1	0
15	30	11248	1000	0	0	1	1	0
16	30	11248	1000	0	0	1	1	0
17	30	11248	1000	0	0	1	1	0
18	30	11248	1000	0	0	1	1	0
19	30	11248	1000	0	0	1	1	0
20	30	11248	1000	0	0	1	1	0
21	30	11248	1000	0	0	1	1	0
22	30	11248	1000	0	0	1	1	0
23	30	11248	1000	0	0	1	1	0
24	30	11248	1000	0	0	1	1	0
25	30	11248	1000	0	0	1	1	0
26	30	11248	1000	0	0	1	1	0
27	30	11248	1000	0	0	1	1	0
28	30	11248	1000	0	0	1	1	0
29	30	11248	1000	0	0	1	1	0
30	30	11248	1000	0	0	1	1	0
31	30	11248	1000	0	0	1	1	0
32	30	11248	1000	0	0	1	1	0
33	30	11248	1000	0	0	1	1	0
34	30	11248	1000	0	0	1	1	0
35	30	11248	1000	0	0	1	1	0
36	30	11248	1000	0	0	1	1	0
37	30	11248	1000	0	0	1	1	0
38	30	11248	1000	0	0	1	1	0
39	30	11248	1000	0	0	1	1	0
40	30	11248	1000	0	0	1	1	0
41	30	11248	1000	0	0	1	1	0
42	30	11248	1000	0	0	1	1	0
43	30	11248	1000	0	0	1	1	0
44	30	11248	1000	0	0	1	1	0
45	30	11248	1000	0	0	1	1	0
46	30	11248	1000	0	0	1	1	0
47	30	11248	1000	0	0	1	1	0
48	30	11248	1000	0	0	1	1	0
49	30	11248	1000	0	0	1	1	0
50	30	11248	1000	0	0	1	1	0
1	13	7262	1000	0	0	1	1	0
2	13	7262	1000	0	0	1	1	0
3	13	7262	1000	0	0	1	1	0
4	13	7262	1000	0	0	1	1	0
5	13	7262	1000	0	0	1	1	0
6	13	7262	1000	0	0	1	1	0
7	13	7262	1000	0	0	1	1	0
8	13	7262	1000	0	0	1	1	0
9	13	7262	1000	0	0	1	1	0
10	13	7262	1000	0	0	1	1	0
11	13	7262	1000	0	0	1	1	0
12	13	7262	1000	0	0	1	1	0
